|6.6.6
pyrolite_workman_hart2005.tab
           2
T(K)
   400.00360000000001
   19.999960000020000
         181
P(bar)
   15001.334999999999
   5114.9322988556905
         262
           8
T(K)           P(bar)         rho,kg/m3      alpha,1/K      cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg
   400.004         15001.       3426.803      0.3291203E-04   1010.331       8.410723       4.846974     -0.1287273E+08
   420.004         15001.       3424.619      0.3079490E-04   1026.793       8.397981       4.837532     -0.1285285E+08
   440.004         15001.       3422.672      0.2785735E-04   1041.676       8.385811       4.828389     -0.1283160E+08
   460.003         15001.       3420.833      0.2408131E-04   1055.204       8.374527       4.819860     -0.1281071E+08
   480.003         15001.       3419.377      0.1938263E-04   1067.954       8.364235       4.811826     -0.1278988E+08
   500.003         15001.       3418.176      0.1367580E-04   1080.244       8.355131       4.804463     -0.1276819E+08
   520.003         15001.       3417.522      0.6818239E-05   1092.638       8.347554       4.797784     -0.1274647E+08
   540.003         15001.       3416.826      0.2921460E-04   1097.211       8.340101       4.791137     -0.1272418E+08
   560.003         15001.       3414.824      0.2937834E-04   1105.008       8.328232       4.782672     -0.1270260E+08
   580.003         15001.       3412.834      0.2954260E-04   1112.109       8.316418       4.774359     -0.1268026E+08
   600.003         15001.       3410.788      0.2971045E-04   1118.693       8.304571       4.766094     -0.1265757E+08
   620.003         15001.       3408.758      0.2988436E-04   1124.746       8.292710       4.758002     -0.1263550E+08
   640.003         15001.       3406.710      0.3006670E-04   1130.333       8.280849       4.749879     -0.1261303E+08
   660.003         15001.       3404.718      0.3025941E-04   1135.564       8.268993       4.741858     -0.1259013E+08
   680.003         15001.       3402.580      0.3046383E-04   1140.521       8.257109       4.733910     -0.1256736E+08
   700.003         15001.       3400.524      0.3067998E-04   1145.160       8.245175       4.726058     -0.1254516E+08
   720.003         15001.       3398.452      0.3090977E-04   1149.494       8.233221       4.718199     -0.1252153E+08
   740.003         15001.       3396.352      0.3115472E-04   1153.695       8.221226       4.710320     -0.1249845E+08
   760.003         15001.       3394.195      0.3141450E-04   1157.686       8.209191       4.702600     -0.1247572E+08
   780.003         15001.       3392.087      0.3168966E-04   1161.500       8.197029       4.694770     -0.1245263E+08
   800.003         15001.       3389.914      0.3198230E-04   1165.146       8.184830       4.687012     -0.1242906E+08
   820.003         15001.       3387.708      0.3229100E-04   1168.693       8.172536       4.679318     -0.1240600E+08
   840.003         15001.       3385.552      0.3261828E-04   1172.177       8.160130       4.671524     -0.1238245E+08
   860.003         15001.       3383.343      0.3296445E-04   1175.491       8.147562       4.663790     -0.1235878E+08
   880.003         15001.       3381.078      0.3332960E-04   1178.738       8.134986       4.655985     -0.1233542E+08
   900.003         15001.       3378.855      0.3371589E-04   1182.016       8.122228       4.648197     -0.1231154E+08
   920.003         15001.       3376.521      0.3412486E-04   1185.143       8.109432       4.640395     -0.1228813E+08
   940.003         15001.       3374.224      0.3455815E-04   1188.214       8.096453       4.632621     -0.1226417E+08
   960.002         15001.       3371.870      0.3501766E-04   1191.311       8.083269       4.624706     -0.1224062E+08
   980.002         15001.       3369.450      0.3550457E-04   1194.369       8.070013       4.616827     -0.1221643E+08
  1000.002         15001.       3367.033      0.3602630E-04   1197.512       8.056475       4.608849     -0.1219325E+08
  1020.002         15001.       3364.659      0.3658178E-04   1200.582       8.042811       4.600914     -0.1216851E+08
  1040.002         15001.       3362.112      0.3717626E-04   1203.643       8.028967       4.592893     -0.1214504E+08
  1060.002         15001.       3359.579      0.3782093E-04   1206.767       8.014855       4.584686     -0.1212071E+08
  1080.002         15001.       3357.028      0.3851371E-04   1209.994       8.000567       4.576502     -0.1209666E+08
  1100.002         15001.       3354.457      0.3926935E-04   1213.232       7.986008       4.568269     -0.1207245E+08
  1120.002         15001.       3351.820      0.4009730E-04   1216.625       7.971140       4.559953     -0.1204826E+08
  1140.002         15001.       3349.113      0.4101234E-04   1220.110       7.955948       4.551430     -0.1202365E+08
  1160.002         15001.       3346.309      0.4202609E-04   1223.721       7.940425       4.542860     -0.1199928E+08
  1180.002         15001.       3343.475      0.4315877E-04   1227.587       7.924506       4.534217     -0.1197471E+08
  1200.002         15001.       3340.523      0.4443354E-04   1231.573       7.908216       4.525319     -0.1194991E+08
  1220.002         15001.       3337.465      0.4587672E-04   1235.875       7.891358       4.516287     -0.1192544E+08
  1240.002         15001.       3334.381      0.4751930E-04   1240.468       7.873987       4.507098     -0.1190064E+08
  1260.002         15001.       3331.138      0.4938984E-04   1245.427       7.856048       4.497694     -0.1187580E+08
  1280.002         15001.       3327.799      0.5151660E-04   1250.653       7.837377       4.488045     -0.1185085E+08
  1300.002         15001.       3324.282      0.5391837E-04   1256.364       7.817777       4.478107     -0.1182596E+08
  1320.002         15001.       3320.629      0.5659137E-04   1262.370       7.797394       4.467815     -0.1180050E+08
  1340.002         15001.       3316.746      0.5951086E-04   1268.623       7.776028       4.457245     -0.1177526E+08
  1360.002         15001.       3312.742      0.6265310E-04   1275.075       7.753611       4.446237     -0.1174977E+08
  1380.002         15001.       3308.451      0.6600804E-04   1281.802       7.730064       4.434909     -0.1172441E+08
  1400.002         15001.       3293.117      0.8764849E-03   2022.808       7.653124       4.403958     -0.1169547E+08
  1420.002         15001.       3280.310      0.3922550E-04   1254.906       7.589434       4.377406     -0.1166774E+08
  1440.002         15001.       3277.737      0.4085914E-04   1258.000       7.573593       4.368916     -0.1164215E+08
  1460.001         15001.       3275.121      0.3971018E-04   1258.354       7.557689       4.360494     -0.1161713E+08
  1480.001         15001.       3272.521      0.3997244E-04   1260.100       7.541828       4.352082     -0.1159249E+08
  1500.001         15001.       3269.910      0.4023900E-04   1261.864       7.525958       4.343610     -0.1156708E+08
  1520.001         15001.       3267.231      0.4050838E-04   1263.633       7.509977       4.335164     -0.1154196E+08
  1540.001         15001.       3264.588      0.4078091E-04   1265.423       7.493942       4.326601     -0.1151618E+08
  1560.001         15001.       3261.977      0.4105638E-04   1267.217       7.477955       4.318118     -0.1149072E+08
  1580.001         15001.       3259.230      0.4133716E-04   1269.057       7.461797       4.309555     -0.1146585E+08
  1600.001         15001.       3256.513      0.4162121E-04   1270.875       7.445570       4.300962     -0.1144028E+08
  1620.001         15001.       3253.826      0.4190977E-04   1272.691       7.429364       4.292425     -0.1141498E+08
  1640.001         15001.       3251.072      0.4220123E-04   1274.546       7.413111       4.283821     -0.1138963E+08
  1660.001         15001.       3248.344      0.4249856E-04   1276.406       7.396740       4.275139     -0.1136420E+08
  1680.001         15001.       3245.594      0.4279914E-04   1278.339       7.380354       4.266538     -0.1133830E+08
  1700.001         15001.       3242.776      0.4310388E-04   1280.250       7.363928       4.257823     -0.1131260E+08
  1720.001         15001.       3239.926      0.4341420E-04   1282.200       7.347383       4.249175     -0.1128709E+08
  1740.001         15001.       3237.103      0.4372939E-04   1284.131       7.330800       4.240411     -0.1126184E+08
  1760.001         15001.       3234.314      0.4404901E-04   1286.081       7.314076       4.231709     -0.1123547E+08
  1780.001         15001.       3231.466      0.4437312E-04   1288.029       7.297419       4.222988     -0.1121018E+08
  1800.001         15001.       3228.591      0.4470302E-04   1290.059       7.280626       4.214232     -0.1118443E+08
  1820.001         15001.       3225.660      0.4503954E-04   1292.129       7.263765       4.205444     -0.1115872E+08
  1840.001         15001.       3222.794      0.4538110E-04   1294.220       7.246831       4.196674     -0.1113230E+08
  1860.001         15001.       3219.853      0.4573067E-04   1296.322       7.229827       4.187794     -0.1110654E+08
  1880.001         15001.       3216.842      0.4545075E-04   1292.406       7.212789       4.178906     -0.1108109E+08
  1900.001         15001.       3213.932      0.4577565E-04   1294.319       7.195925       4.170116     -0.1105515E+08
  1920.001         15001.       3210.948      0.4614779E-04   1296.690       7.178978       4.161302     -0.1102872E+08
  1940.001         15001.       3207.990      0.4652527E-04   1299.110       7.161936       4.152462     -0.1100283E+08
  1960.000         15001.       3205.023      0.4690996E-04   1301.510       7.144802       4.143628     -0.1097716E+08
  1980.000         15001.       3201.977      0.4730133E-04   1303.961       7.127518       4.134754     -0.1095067E+08
  2000.000         15001.       3198.965      0.4769832E-04   1306.449       7.110170       4.125884     -0.1092448E+08
  2020.000         15001.       3195.867      0.4810521E-04   1309.053       7.092650       4.116892     -0.1089841E+08
  2040.000         15001.       3192.843      0.4851876E-04   1311.690       7.075045       4.107932     -0.1087261E+08
  2060.000         15001.       3189.688      0.4894047E-04   1314.377       7.057349       4.098892     -0.1084617E+08
  2080.000         15001.       3186.605      0.4937428E-04   1317.075       7.039517       4.089853     -0.1081956E+08
  2100.000         15001.       3183.414      0.4981865E-04   1319.937       7.021573       4.080862     -0.1079357E+08
  2120.000         15001.       3180.227      0.5027306E-04   1322.813       7.003572       4.071799     -0.1076671E+08
  2140.000         15001.       3177.028      0.5074189E-04   1325.800       6.985352       4.062626     -0.1074057E+08
  2160.000         15001.       3173.807      0.5122566E-04   1328.874       6.966970       4.053479     -0.1071364E+08
  2180.000         15001.       3170.495      0.5172638E-04   1331.975       6.948465       4.044276     -0.1068754E+08
  2200.000         15001.       3167.200      0.5224649E-04   1335.203       6.929741       4.035014     -0.1066070E+08
  2220.000         15001.       3163.864      0.5278469E-04   1338.539       6.910917       4.025716     -0.1063413E+08
  2240.000         15001.       3160.490      0.5334957E-04   1341.913       6.891808       4.016343     -0.1060762E+08
  2260.000         15001.       3157.140      0.5394147E-04   1345.479       6.872495       4.007022     -0.1058027E+08
  2280.000         15001.       3153.694      0.5457066E-04   1349.079       6.852901       3.997515     -0.1055328E+08
  2300.000         15001.       3150.271      0.5523772E-04   1352.844       6.833033       3.988020     -0.1052679E+08
  2320.000         15001.       3146.801      0.5594962E-04   1356.782       6.812823       3.978454     -0.1049912E+08
  2340.000         15001.       3143.221      0.5671570E-04   1360.828       6.792215       3.968818     -0.1047204E+08
  2360.000         15001.       3139.617      0.5755292E-04   1365.105       6.771096       3.959060     -0.1044527E+08
  2380.000         15001.       3136.018      0.5847837E-04   1369.549       6.749389       3.949127     -0.1041755E+08
  2400.000         15001.       3132.313      0.5950288E-04   1374.320       6.727045       3.939193     -0.1039001E+08
  2420.000         15001.       3128.542      0.6065040E-04   1379.423       6.703925       3.929088     -0.1036258E+08
  2440.000         15001.       3124.732      0.6194899E-04   1384.944       6.679926       3.918857     -0.1033471E+08
  2459.999         15001.       3120.802      0.6343846E-04   1390.985       6.654800       3.908462     -0.1030710E+08
  2479.999         15001.       3116.773      0.6515978E-04   1397.789       6.628413       3.897925     -0.1027920E+08
  2499.999         15001.       3112.608      0.6719272E-04   1405.488       6.600254       3.887211     -0.1025097E+08
  2519.999         15001.       3108.426      0.6966562E-04   1414.547       6.569874       3.876188     -0.1022288E+08
  2539.999         15001.       3104.000      0.7270138E-04   1425.584       6.536672       3.865005     -0.1019458E+08
  2559.999         15001.       3099.366      0.7655246E-04   1439.465       6.499771       3.853493     -0.1016579E+08
  2579.999         15001.       3094.472      0.8176638E-04   1458.263       6.456948       3.841643     -0.1013704E+08
  2599.999         15001.       3089.183      0.8972834E-04   1487.475       6.403757       3.829502     -0.1010757E+08
  2619.999         15001.       3083.227      0.1084885E-03   1558.853       6.318284       3.816909     -0.1007744E+08
  2639.999         15001.       3091.336      0.7743725E-04   1457.250       6.573560       3.829209     -0.1005336E+08
  2659.999         15001.       3093.106      0.6210077E-04   1408.027       6.681728       3.828476     -0.1002697E+08
  2679.999         15001.       3089.238      0.6307178E-04   1414.608       6.657112       3.816806     -0.9998713E+07
  2699.999         15001.       3079.393      0.5907890E-04   1395.764       6.728141       3.833053     -0.9945957E+07
  2719.999         15001.       3074.601      0.5895520E-04   1396.114       6.744779       3.827782     -0.9913322E+07
  2739.999         15001.       3070.920      0.5965476E-04   1401.094       6.724916       3.816933     -0.9885345E+07
  2759.999         15001.       3067.245      0.6033376E-04   1405.883       6.704832       3.806112     -0.9857289E+07
  2779.999         15001.       3063.589      0.6103390E-04   1410.846       6.684541       3.795157     -0.9829171E+07
  2799.999         15001.       3059.760      0.6175601E-04   1415.989       6.663950       3.784053     -0.9800993E+07
  2819.999         15001.       3056.018      0.6250442E-04   1421.237       6.643150       3.772942     -0.9772617E+07
  2839.999         15001.       3052.183      0.6328130E-04   1426.783       6.621853       3.761636     -0.9743940E+07
  2859.999         15001.       3048.284      0.6407984E-04   1432.382       6.600455       3.750335     -0.9715436E+07
  2879.999         15001.       3044.384      0.6490918E-04   1438.276       6.578761       3.738839     -0.9686740E+07
  2899.999         15001.       3040.387      0.6577245E-04   1444.372       6.556572       3.727242     -0.9657845E+07
  2919.999         15001.       3036.309      0.6666632E-04   1450.734       6.534188       3.715503     -0.9628891E+07
  2939.999         15001.       3032.249      0.6759220E-04   1457.264       6.511426       3.703722     -0.9599882E+07
  2959.998         15001.       3028.094      0.6855805E-04   1464.085       6.488272       3.691749     -0.9570681E+07
  2979.998         15001.       3023.936      0.6956503E-04   1471.200       6.464726       3.679675     -0.9541285E+07
  2999.998         15001.       3019.704      0.7061108E-04   1478.575       6.440807       3.667466     -0.9511829E+07
  3019.998         15001.       3015.467      0.7170510E-04   1486.238       6.416408       3.655157     -0.9482188E+07
  3039.998         15001.       3011.051      0.7284943E-04   1494.283       6.391615       3.642662     -0.9452353E+07
  3059.998         15001.       3006.637      0.7404248E-04   1502.767       6.366368       3.630029     -0.9422368E+07
  3079.998         15001.       3002.139      0.7529392E-04   1511.555       6.340643       3.617210     -0.9392282E+07
  3099.998         15001.       2997.629      0.7660745E-04   1520.799       6.314354       3.604282     -0.9362016E+07
  3119.998         15001.       2992.935      0.7799413E-04   1530.564       6.287459       3.591122     -0.9331348E+07
  3139.998         15001.       2988.226      0.7945047E-04   1540.781       6.260008       3.577731     -0.9300653E+07
  3159.998         15001.       2983.441      0.8098448E-04   1551.626       6.231986       3.564221     -0.9269809E+07
  3179.998         15001.       2978.618      0.8261226E-04   1563.035       6.203200       3.550485     -0.9238576E+07
  3199.998         15001.       2973.658      0.8433065E-04   1575.122       6.173816       3.536593     -0.9207289E+07
  3219.998         15001.       2968.566      0.8615815E-04   1587.938       6.143607       3.522473     -0.9175677E+07
  3239.998         15001.       2963.424      0.8811065E-04   1601.644       6.112545       3.508016     -0.9143765E+07
  3259.998         15001.       2958.132      0.9019377E-04   1616.249       6.080613       3.493390     -0.9111570E+07
  3279.998         15001.       2952.696      0.9242830E-04   1631.934       6.047753       3.478472     -0.9079108E+07
  3299.998         15001.       2947.204      0.9483601E-04   1648.790       6.013792       3.463181     -0.9046243E+07
  3319.998         15001.       2941.562      0.9742921E-04   1666.912       5.978784       3.447639     -0.9013101E+07
  3339.998         15001.       2935.750      0.1002472E-03   1686.618       5.942444       3.431784     -0.8979592E+07
  3359.998         15001.       2929.797      0.1033287E-03   1708.061       5.904740       3.415548     -0.8945614E+07
  3379.998         15001.       2923.635      0.1066999E-03   1731.569       5.865553       3.398917     -0.8911300E+07
  3399.998         15001.       2917.285      0.1104243E-03   1757.469       5.824721       3.381819     -0.8876412E+07
  3419.998         15001.       2910.759      0.1145718E-03   1786.221       5.781842       3.364217     -0.8840992E+07
  3439.998         15001.       2903.966      0.1192296E-03   1818.538       5.736919       3.346095     -0.8804990E+07
  3459.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3479.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3499.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3519.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3539.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3559.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3579.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3599.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3619.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3639.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3659.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3679.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3699.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3719.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3739.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3759.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3779.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3799.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3819.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3839.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3859.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3879.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3899.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3919.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3939.997         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3959.996         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3979.996         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
  3999.996         15001.       2903.107      0.1198260E-03   1822.677       5.731233       3.343807     -0.8800454E+07
   400.004         20116.       3443.733      0.2707556E-04   1010.781       8.467360       4.866883     -0.1272605E+08
   420.004         20116.       3441.843      0.2739900E-04   1027.827       8.455581       4.857791     -0.1270516E+08
   440.004         20116.       3439.917      0.2767155E-04   1042.865       8.443813       4.848739     -0.1268470E+08
   460.003         20116.       3438.050      0.2790229E-04   1056.184       8.432063       4.839789     -0.1266337E+08
   480.003         20116.       3436.109      0.2810215E-04   1067.940       8.420312       4.830953     -0.1264270E+08
   500.003         20116.       3434.190      0.2827781E-04   1078.532       8.408544       4.822285     -0.1262086E+08
   520.003         20116.       3432.201      0.2843715E-04   1088.004       8.396872       4.813599     -0.1259950E+08
   540.003         20116.       3430.240      0.2858432E-04   1096.549       8.385127       4.805130     -0.1257701E+08
   560.003         20116.       3428.327      0.2872392E-04   1104.329       8.373509       4.796737     -0.1255500E+08
   580.003         20116.       3426.295      0.2886043E-04   1111.424       8.361846       4.788461     -0.1253355E+08
   600.003         20116.       3424.324      0.2899565E-04   1117.947       8.350231       4.780259     -0.1251087E+08
   620.003         20116.       3422.322      0.2913311E-04   1123.942       8.338605       4.772175     -0.1248877E+08
   640.003         20116.       3420.375      0.2927403E-04   1129.468       8.326950       4.764187     -0.1246620E+08
   660.003         20116.       3418.332      0.2942020E-04   1134.634       8.315362       4.756187     -0.1244340E+08
   680.003         20116.       3416.348      0.2957309E-04   1139.481       8.303762       4.748286     -0.1242017E+08
   700.003         20116.       3414.263      0.2973437E-04   1144.015       8.292076       4.740534     -0.1239788E+08
   720.003         20116.       3412.280      0.2990417E-04   1148.288       8.280412       4.732696     -0.1237488E+08
   740.003         20116.       3410.234      0.3008451E-04   1152.386       8.268754       4.724969     -0.1235168E+08
   760.003         20116.       3408.126      0.3027458E-04   1156.218       8.256999       4.717274     -0.1232871E+08
   780.003         20116.       3406.112      0.3047572E-04   1159.928       8.245235       4.709591     -0.1230565E+08
   800.003         20116.       3403.997      0.3068883E-04   1163.457       8.233416       4.701980     -0.1228246E+08
   820.003         20116.       3401.894      0.3091375E-04   1166.899       8.221569       4.694314     -0.1225891E+08
   840.003         20116.       3399.780      0.3115071E-04   1170.177       8.209615       4.686713     -0.1223555E+08
   860.003         20116.       3397.640      0.3140061E-04   1173.386       8.197566       4.679145     -0.1221188E+08
   880.003         20116.       3395.480      0.3166338E-04   1176.519       8.185503       4.671495     -0.1218850E+08
   900.003         20116.       3393.362      0.3194041E-04   1179.549       8.173356       4.663849     -0.1216555E+08
   920.003         20116.       3391.185      0.3223182E-04   1182.509       8.161106       4.656219     -0.1214130E+08
   940.003         20116.       3388.997      0.3253826E-04   1185.457       8.148749       4.648617     -0.1211776E+08
   960.002         20116.       3386.752      0.3285958E-04   1188.343       8.136297       4.640973     -0.1209388E+08
   980.002         20116.       3384.545      0.3319856E-04   1191.141       8.123746       4.633270     -0.1207023E+08
  1000.002         20116.       3382.283      0.3355399E-04   1193.972       8.111139       4.625613     -0.1204621E+08
  1020.002         20116.       3380.019      0.3392846E-04   1196.710       8.098351       4.617824     -0.1202252E+08
  1040.002         20116.       3377.686      0.3432548E-04   1199.509       8.085379       4.610064     -0.1199855E+08
  1060.002         20116.       3375.405      0.3474218E-04   1202.246       8.072336       4.602309     -0.1197450E+08
  1080.002         20116.       3373.034      0.3518558E-04   1205.058       8.059127       4.594420     -0.1195057E+08
  1100.002         20116.       3370.614      0.3565467E-04   1207.884       8.045758       4.586565     -0.1192628E+08
  1120.002         20116.       3368.212      0.3615675E-04   1210.708       8.032147       4.578552     -0.1190226E+08
  1140.002         20116.       3365.758      0.3669019E-04   1213.594       8.018492       4.570558     -0.1187798E+08
  1160.002         20116.       3363.254      0.3725980E-04   1216.458       8.004512       4.562511     -0.1185357E+08
  1180.002         20116.       3360.762      0.3787113E-04   1219.452       7.990441       4.554348     -0.1182956E+08
  1200.002         20116.       3358.201      0.3853264E-04   1222.507       7.976118       4.546158     -0.1180503E+08
  1220.002         20116.       3355.578      0.3925217E-04   1225.638       7.961438       4.537841     -0.1178068E+08
  1240.002         20116.       3352.903      0.4002996E-04   1228.909       7.946648       4.529494     -0.1175580E+08
  1260.002         20116.       3350.157      0.4088249E-04   1232.237       7.931417       4.520938     -0.1173120E+08
  1280.002         20116.       3347.438      0.4181582E-04   1235.715       7.915934       4.512405     -0.1170685E+08
  1300.002         20116.       3344.576      0.4284392E-04   1239.407       7.900066       4.503606     -0.1168196E+08
  1320.002         20116.       3341.680      0.4397125E-04   1243.234       7.883919       4.494780     -0.1165738E+08
  1340.002         20116.       3338.683      0.4521704E-04   1247.207       7.867230       4.485794     -0.1163201E+08
  1360.002         20116.       3335.596      0.4658339E-04   1251.389       7.850077       4.476599     -0.1160695E+08
  1380.002         20116.       3332.471      0.4807876E-04   1255.810       7.832476       4.467268     -0.1158192E+08
  1400.002         20116.       3329.206      0.4971241E-04   1260.332       7.814246       4.457730     -0.1155651E+08
  1420.002         20116.       3325.834      0.5147575E-04   1265.112       7.795576       4.447940     -0.1153151E+08
  1440.002         20116.       3322.411      0.5338018E-04   1270.029       7.776089       4.437981     -0.1150605E+08
  1460.001         20116.       3318.775      0.5541413E-04   1275.095       7.755914       4.427710     -0.1148067E+08
  1480.001         20116.       3315.023      0.5757492E-04   1280.290       7.735077       4.417257     -0.1145551E+08
  1500.001         20116.       3311.090      0.5989163E-04   1285.677       7.713401       4.406518     -0.1142976E+08
  1520.001         20116.       3307.073      0.6237533E-04   1291.292       7.690861       4.395461     -0.1140413E+08
  1540.001         20116.       3302.846      0.6506713E-04   1297.253       7.667496       4.384072     -0.1137781E+08
  1560.001         20116.       3298.507      0.6802402E-04   1303.584       7.643011       4.372428     -0.1135169E+08
  1580.001         20116.       3293.901      0.7133173E-04   1310.461       7.617538       4.360421     -0.1132599E+08
  1600.001         20116.       3289.046      0.7507309E-04   1318.098       7.590743       4.347922     -0.1129957E+08
  1620.001         20116.       3276.291      0.1515273E-02   3013.099       7.524327       4.321050     -0.1127057E+08
  1640.001         20116.       3270.221      0.4485547E-04   1277.186       7.491407       4.306269     -0.1124371E+08
  1660.001         20116.       3266.584      0.1999610E-03   1467.385       7.470973       4.296102     -0.1121806E+08
  1680.001         20116.       3263.342      0.4098199E-04   1274.083       7.452281       4.286521     -0.1119198E+08
  1700.001         20116.       3260.730      0.4125722E-04   1275.880       7.436463       4.278056     -0.1116639E+08
  1720.001         20116.       3258.045      0.4153595E-04   1277.670       7.420579       4.269553     -0.1114103E+08
  1740.001         20116.       3255.291      0.4181864E-04   1279.481       7.404703       4.261082     -0.1111553E+08
  1760.001         20116.       3252.572      0.4210584E-04   1281.368       7.388682       4.252523     -0.1108990E+08
  1780.001         20116.       3249.827      0.4239577E-04   1283.161       7.372702       4.243956     -0.1106406E+08
  1800.001         20116.       3247.039      0.4269035E-04   1285.080       7.356598       4.235362     -0.1103835E+08
  1820.001         20116.       3244.302      0.4298808E-04   1286.975       7.340542       4.226823     -0.1101266E+08
  1840.001         20116.       3241.491      0.4329006E-04   1288.932       7.324392       4.218211     -0.1098737E+08
  1860.001         20116.       3238.621      0.4359753E-04   1290.889       7.308157       4.209551     -0.1096136E+08
  1880.001         20116.       3235.816      0.4390876E-04   1292.843       7.291908       4.200954     -0.1093537E+08
  1900.001         20116.       3232.949      0.4422479E-04   1294.891       7.275640       4.192248     -0.1091012E+08
  1920.001         20116.       3230.101      0.4392657E-04   1291.126       7.259467       4.183616     -0.1088340E+08
  1940.001         20116.       3227.270      0.4422056E-04   1292.987       7.243444       4.175047     -0.1085799E+08
  1960.000         20116.       3224.408      0.4455175E-04   1295.245       7.227321       4.166411     -0.1083214E+08
  1980.000         20116.       3221.546      0.4488600E-04   1297.573       7.211160       4.157749     -0.1080577E+08
  2000.000         20116.       3218.654      0.4522388E-04   1299.921       7.194884       4.149112     -0.1077966E+08
  2020.000         20116.       3215.684      0.4556584E-04   1302.306       7.178649       4.140443     -0.1075376E+08
  2040.000         20116.       3212.729      0.4591106E-04   1304.746       7.162321       4.131756     -0.1072807E+08
  2060.000         20116.       3209.798      0.4626021E-04   1307.265       7.146009       4.123081     -0.1070158E+08
  2080.000         20116.       3206.857      0.4661318E-04   1309.828       7.129576       4.114331     -0.1067596E+08
  2100.000         20116.       3203.848      0.4696997E-04   1312.460       7.113177       4.105571     -0.1064963E+08
  2120.000         20116.       3200.786      0.4733060E-04   1315.149       7.096729       4.096864     -0.1062350E+08
  2140.000         20116.       3197.789      0.4769585E-04   1317.866       7.080218       4.088100     -0.1059655E+08
  2160.000         20116.       3194.724      0.4806623E-04   1320.642       7.063701       4.079255     -0.1057041E+08
  2180.000         20116.       3191.630      0.4843906E-04   1323.553       7.047188       4.070498     -0.1054412E+08
  2200.000         20116.       3188.489      0.4881675E-04   1326.461       7.030598       4.061700     -0.1051788E+08
  2220.000         20116.       3185.371      0.4919784E-04   1329.437       7.014063       4.052853     -0.1049147E+08
  2240.000         20116.       3182.247      0.4958398E-04   1332.541       6.997460       4.043914     -0.1046426E+08
  2260.000         20116.       3179.052      0.4997411E-04   1335.650       6.980908       4.035087     -0.1043784E+08
  2280.000         20116.       3175.867      0.5037103E-04   1338.836       6.964269       4.026133     -0.1041078E+08
  2300.000         20116.       3172.711      0.5077184E-04   1342.058       6.947657       4.017198     -0.1038390E+08
  2320.000         20116.       3169.488      0.5117981E-04   1345.388       6.931009       4.008248     -0.1035716E+08
  2340.000         20116.       3166.163      0.5159657E-04   1348.739       6.914314       3.999157     -0.1033045E+08
  2360.000         20116.       3162.931      0.5202359E-04   1352.098       6.897601       3.990165     -0.1030311E+08
  2380.000         20116.       3159.619      0.5246470E-04   1355.600       6.880860       3.980988     -0.1027638E+08
  2400.000         20116.       3156.289      0.5292221E-04   1359.044       6.864005       3.971820     -0.1024916E+08
  2420.000         20116.       3152.906      0.5340116E-04   1362.595       6.846995       3.962622     -0.1022205E+08
  2440.000         20116.       3149.545      0.5390763E-04   1366.172       6.829864       3.953367     -0.1019453E+08
